# RELATÓRIO FINAL - MÁQUINAS QUE PRECISAM ATUALIZAR
# Gerado em: 21/08/2025 às 10:19:51
# Total com pendências: 1263
# Debian != 12: 1000 | Chrome < 139: 997 | Firefox < 115: 708
#
# IP | Hostname | Debian | Chrome | Firefox | Status
==============================================================================================================

192.168.7.73    | pmjsXXXXXX           | Debian 11          | 138.0.7204.183            | 78.15.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.7.81    | pmjsXXXXXX           | Debian 11          | 96.0.4664.45              | 102.8.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.7.60    | pmjs157918           | Debian 11          | 138.0.7204.92             | 102.7.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.7.93    | pmjsXXXXXX           | Debian 11          | 133.0.6943.126            | 102.6.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.7.79    | pmjs010284           | Debian 11          | 133.0.6943.53             | 102.6.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.7.54    | pmjs158166           | Debian 11          | 137.0.7151.68             | 102.10.0esr     | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.7.52    | pmjsXXXXXX           | Debian 11          | 127.0.6533.88             | 115.5.0esr      | PRECISA ATUALIZAR: Chrome, Debian
192.168.7.42    | edu3027              | Debian 12          | 138.0.7204.92             | 128.12.0esr     | PRECISA ATUALIZAR: Chrome
192.168.7.24    | pmjsXXXXXX           | Debian 11          | 130.0.6723.91             | 115.5.0esr      | PRECISA ATUALIZAR: Chrome, Debian
192.168.7.76    | pmjs168776           | Debian 11          | 96.0.4664.45              | 102.3.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.7.105   | pmjsXXXXXX           | Debian 11          | 138.0.7204.168            | 128.13.0esr     | PRECISA ATUALIZAR: Chrome, Debian
192.168.7.149   | edu169298            | Debian 12          | 132.0.6834.83             | 128.6.0esr      | PRECISA ATUALIZAR: Chrome
192.168.7.171   | pmjsXXXXXX           | Debian 11          | 132.0.6834.110            | 128.6.0esr      | PRECISA ATUALIZAR: Chrome, Debian
192.168.7.208   | pmjsXXXXXX           | Debian 11          | 107.0.5304.87             | 102.4.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.7.218   | pmjsXXXXXX           | Debian 11          | 96.0.4664.45              | 115.10.0esr     | PRECISA ATUALIZAR: Chrome, Debian
192.168.8.149   | 091239               | Debian 12          | 138.0.7204.168            | 128.10.0esr     | PRECISA ATUALIZAR: Chrome
192.168.9.51    | pmjs103443           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.58    | pmjs103416           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.62    | pmjs102323           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.99    | pmjs103409           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.74    | pmjs103408           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.57    | pmjs103398           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.18    | pmjs103395           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.44    | pmjs103412           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.84    | pmjs103405           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.31    | pmjs103397           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.30    | pmjs102310           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.67    | pmjs102318           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.97    | pmjs102326           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.78    | pmjs102325           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.72    | pmjs103411           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.36    | pmjs103406           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.87    | pmjs103379           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.42    | pmjs103417           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.23    | pmjs103420           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.35    | pmjs102319           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.86    | pmjs102376           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.94    | pmjs103466           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.76    | pmjs99522            | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.95    | pmjs103391           | Debian 11          | 139.0.7258.138            | 115.15.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.29    | pmjs102302           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.79    | pmjs103441           | Debian 11          | 139.0.7258.138            | 128.13.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.68    | pmjs102388           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.91    | pmjs102317           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.27    | pmjs103394           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.96    | pmjs102320           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.71    | pmjs102387           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.46    | pmjs99504            | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.93    | pmjs99520            | Debian 12          | 135.0.7049.95             | 128.10.0esr     | PRECISA ATUALIZAR: Chrome
192.168.9.45    | pmjs100664           | Debian 11          | 139.0.7258.127            | 128.13.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.130   | s3226                | Debian 11          | 98.0.4758.102             | 78.14.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.9.112   | pmjs103404           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.104   | pmjs103482           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.101   | pmjs103484           | Debian 11          | 138.0.7204.157            | 128.12.0esr     | PRECISA ATUALIZAR: Chrome, Debian
192.168.9.123   | pmjs071763           | Debian 11          | 94.0.4606.71              | 78.14.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.9.107   | pmjs103422           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.138   | pmjs99526            | Debian 11          | 94.0.4606.71              | 78.14.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.9.114   | pmjs102297           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.103   | pmjs102286           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.116   | pmjs102327           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.120   | pmjs102316           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.133   | pmjs103469           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.139   | pmjs103401           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.134   | pmjs102324           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.115   | pmjs103402           | Debian 11          | 139.0.7258.127            | 128.13.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.140   | pmjs103418           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.142   | pmjs99499            | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.153   | s3084                | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.117   | pmjs103962           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.155   | pmjs135979           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.159   | pmjs102377           | Debian 12          | 135.0.7049.52             | 128.14.0esr     | PRECISA ATUALIZAR: Chrome
192.168.9.148   | pmjs081864           | Debian 11          | 139.0.7258.138            | 128.13.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.160   | s3182                | Debian 12          | 129.0.6668.70             | 115.7.0esr      | PRECISA ATUALIZAR: Chrome
192.168.9.165   | pmjs103421           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.168   | pmjs103399           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.169   | pmjs102294           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.170   | pmjs103403           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.166   | pmjs102293           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.174   | pmjs102395           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.173   | pmjs102301           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.175   | pmjs102378           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.183   | pmjs99525            | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.184   | pmjs102296           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.191   | pmjs103442           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.190   | pmjs99501            | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.193   | pmjs102298           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.198   | pmjs102300           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.102   | S1543                | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.210   | pmjs103473           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.213   | pmjs99524            | Debian 11          | 103.0.5060.53             | 91.10.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.9.214   | pmjs102321           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.216   | pmjs102390           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.221   | pmjs102306           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.9.223   | pmjs102307           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.12.42   | pmjs156890           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.12.120  | pmjs156781           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.12.128  | pmjs155086           | Debian 11          | 102.0.5005.115            | 91.10.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.12.142  | pmjs155091           | Debian 12          | 126.0.6478.114            | 102.12.0esr     | PRECISA ATUALIZAR: Chrome, Firefox
192.168.13.49   | pmjs156877           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.13.164  | pmjs143669           | Debian 11          | 139.0.7258.138            | 128.8.0esr      | PRECISA ATUALIZAR: Debian
192.168.14.42   | pmjs145472           | Debian 11          | 112.0.5615.49             | 128.13.0esr     | PRECISA ATUALIZAR: Chrome, Debian
192.168.14.32   | pmjs145471           | Debian 13          | 139.0.7258.138            | 128.13.0esr     | PRECISA ATUALIZAR: Debian
192.168.14.142  | est3231              | Debian 11          | 101.0.4951.64             | 78.14.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.15.88   | pmjs136017           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.15.28   | pmjs102328           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.15.34   | pmjs102330           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.15.90   | pmjs135824           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.15.53   | pmjs136009           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.15.48   | pmjs135980           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.15.40   | pmjs136004           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.15.43   | pmjs135828           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.15.52   | pmjs135997           | Debian 11          | 139.0.7258.138            | 128.13.0esr     | PRECISA ATUALIZAR: Debian
192.168.15.19   | senhastributacao     | Debian 11          | 109.0.5414.74             | 102.7.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.15.21   | pmjs136005           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.15.225  | pmjs102410           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.16.61   | pmjs135862           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.16.73   | pmjs156879           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.16.101  | pmjs156886           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.16.103  | pmjs135871           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.16.138  | pmjs136026           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.16.121  | pmjs112212           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.16.198  | pmjs136030           | Debian 10          | 124.0.6367.118            | 91.12.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.18.30   | pmjs135821           | Debian 9           | 90.0.4430.93              | 78.10.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.18.29   | pmjs135811           | Debian 9           | 90.0.4430.93              | 78.10.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.18.81   | pmjs135815           | Debian 9           | 90.0.4430.93              | 78.10.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.18.38   | pmjs135820           | Debian 10          | 133.0.6943.126            | 91.12.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.18.22   | pmjs135816           | Debian 10          | 124.0.6367.60             | 91.12.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.18.55   | pmjs136018           | Debian 11          | 139.0.7258.127            | 128.13.0esr     | PRECISA ATUALIZAR: Debian
192.168.21.60   | pmjs134567           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.21.31   | pmjs134577           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.21.26   | pmjs155456           | Debian 11          | 102.0.5005.61             | 91.10.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.21.32   | pmjs155457           | Debian 11          | 138.0.7204.168            | 91.10.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.21.20   | pmjs155459           | Debian 11          | 102.0.5005.115            | 91.10.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.21.39   | pmjs143671           | Debian 12          | 137.0.7151.103            | 128.10.0esr     | PRECISA ATUALIZAR: Chrome
192.168.21.33   | pmjs155455           | Debian 11          | 102.0.5005.61             | 91.10.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.21.212  | pmjs134569           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.21.204  | pmjs155461           | Debian 11          | 103.0.5060.53             | 91.10.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.21.205  | pmjs155464           | Debian 12          | 135.0.7049.84             | 128.9.0esr      | PRECISA ATUALIZAR: Chrome
192.168.21.226  | s2756                | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.22.31   | pmjs156882           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.22.38   | pmjs102295           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.22.33   | pmjs135915           | Debian 10          | 124.0.6367.118            | 91.12.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.22.27   | pmjs112210           | Debian 12          | 133.0.6943.141            | 128.5.0esr      | PRECISA ATUALIZAR: Chrome
192.168.22.184  | pmjs135951           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.23.31   | s1858                | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
